City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
513,Black River,JM,76.87,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
514,Sainte-Suzanne,RE,82.47,broken clouds,-20.9061,55.6089,Gites Ango
515,Bucerias,MX,73.38,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
516,Monywa,MM,82.72,few clouds,22.1167,95.1333,Monywa Hotel
518,Waw,SS,72.7,overcast clouds,7.7029,27.9953,Universal Gab Hotel
519,Labuhan,ID,85.64,overcast clouds,-6.8844,112.2051,DoubleFAG
522,Salalah,OM,84.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
532,Qiongshan,CN,78.78,broken clouds,20.0058,110.3542,Sun City Restaurant
534,Soyo,AO,76.42,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
535,Praia,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
536,Penalva,BR,73.81,scattered clouds,-3.2942,-45.1736,Hotel Lago Verde
540,Sao Joao Da Barra,BR,73.22,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
541,Gigmoto,PH,85.62,broken clouds,13.7796,124.39,Cj's Travellers Inn
546,Amuntai,ID,85.98,overcast clouds,-2.4177,115.2494,Hotel Balqis
547,Brufut,GM,71.69,clear sky,13.3814,-16.7518,Gambia Hotel Resort & Spa
549,Dabakala,CI,73.33,overcast clouds,8.3667,-4.4333,Mosquée
553,Kaseda,JP,75.31,few clouds,31.4167,130.3167,Sun Stay Kaseda
557,Nelson Bay,AU,77.05,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
562,Talikota,IN,79.77,overcast clouds,16.4833,76.3167,Ma Maharaja garden hotel
565,Wajima,JP,70.48,clear sky,37.4,136.9,Wajima Onsen Yashio
567,Tshela,CD,71.91,overcast clouds,-4.9833,12.9333,Hotel Mirador
568,Santa Rosa,PH,80.58,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
570,Mildura,AU,76.06,light rain,-34.2,142.15,Mercure Hotel Mildura
573,Isangel,VU,82.51,overcast clouds,-19.55,169.2667,Tanna Lodge
574,Porbandar,IN,89.58,clear sky,21.6422,69.6093,Lords Inn Porbandar
575,Nishihara,JP,78.08,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
576,Charlestown,AU,76.78,broken clouds,-32.95,151.6667,Panorama Motor Inn Hotel
583,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
590,Makakilo City,US,74.68,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
592,Mareeba,AU,87.44,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
596,Manaure,CO,79.16,overcast clouds,11.7751,-72.4445,Hotel Palaaima
600,Waraseoni,IN,78.17,broken clouds,21.75,80.0333,Thakre Bhavan
603,Port Jervis,US,70.63,overcast clouds,41.3751,-74.6927,Hampton Inn Matamoras/Milford
604,Kurri Kurri,AU,83.89,light rain,-32.8167,151.4833,Kurri Motor Inn
608,Marhaura,IN,76.93,clear sky,25.9667,84.8667,Mishti Polutry Farm
613,Sirsilla,IN,79.03,scattered clouds,18.3833,78.8333,Guest rooms
614,Moree,AU,85.93,overcast clouds,-29.4667,149.85,Molika Springs Motel
616,Sakaiminato,JP,75.18,few clouds,35.55,133.2333,Italian pasley
620,Atambua,ID,83.82,broken clouds,-9.1061,124.8925,Ros Muskanan
621,Marzuq,YE,70.11,clear sky,14.4,46.4667,حيد القفلة
626,Majene,ID,86.31,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
627,Chiang Rai,TH,87.3,few clouds,19.9167,99.9167,Imsuk Homestay at Chiang Rai
629,Naze,JP,74.32,light rain,28.3667,129.4833,Shishime Hotel
630,Podor,MR,77.97,broken clouds,16.6527,-14.9587,Auberge Du Tékrour
632,Chambersburg,US,70.74,heavy intensity rain,39.9376,-77.6611,"Holiday Inn Express & Suites Chambersburg, an IHG Hotel"
634,Tutoia,BR,78.76,overcast clouds,-2.7619,-42.2744,Pousada Guará's
636,Donghai,CN,83.44,clear sky,22.9459,115.642,Huacheng Restaurant
640,Havelock,US,76.98,overcast clouds,34.8791,-76.9013,Sherwood Motel
642,Baculin,PH,84.33,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
643,Kahului,US,77.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
644,Garowe,SO,76.78,few clouds,8.4054,48.4845,Sacaada Hotel
647,Kamphaeng Phet,TH,83.64,overcast clouds,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
649,Dhidhdhoo,MV,81.34,overcast clouds,6.8833,73.1,Dhidhoo beach
650,Roebourne,AU,88.74,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
651,Srandakan,ID,83.79,overcast clouds,-7.9386,110.2506,Puri Brata
652,Upata,VE,73.18,overcast clouds,8.0086,-62.3989,Posada Villa Nela
657,Brisbane,AU,87.69,clear sky,-27.4679,153.0281,Royal On The Park Brisbane
660,Dingle,PH,86.07,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
663,Araure,VE,72.79,overcast clouds,9.5601,-69.2148,Hotel Las Majaguas
667,Auki,SB,77.38,overcast clouds,-8.7676,160.7034,Auki Motel
669,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
677,Manokwari,ID,76.82,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
679,Sassandra,CI,74.46,light rain,4.95,-6.0833,la terrasse
680,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
685,Buala,SB,80.04,light rain,-8.145,159.5921,Maringe Lagoon Lodge
686,Salta,AR,70.39,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
687,El Tigre,VE,73.58,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
689,Carutapera,BR,77.04,few clouds,-1.195,-46.02,Lidera
690,Vega De Alatorre,MX,75.99,clear sky,20.0333,-96.6333,Hotel D Luxe
692,Dwarka,IN,84.6,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
693,Lumberton,US,71.46,overcast clouds,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
699,Dosso,NE,77.07,few clouds,13.049,3.1937,Hotel Toubal
700,Maler Kotla,IN,75.06,clear sky,30.5167,75.8833,Vijay Niwas
